Name of Dishes,Calories
Mashed Potatoes - (1 cup) (210 g),174
Biryani - (1 cup) (275 g),484
Black Rice - (1/2 cup (100 g)),323
Brown Rice - (1 cup) (185 g),670
Baked Beans - (1 cup) (260 g),244
Barley - (1 cup) (157 g),556
Lentil Soup - (1 cup) (248 g),139
Minestrone - (1 cup) (241 g),82
Potato Salad - (1/3 cup (95 g)),136
Paratha - (1 paratha (80g)),260
Naan - (1 bread (84g)),260
Udon Noodles - (1 serve) (100g),200
Cornmeal Porridge - (1 cup) (200g),100
Moong Frittata - (1 serve) (100g),250
Ratatouille - (1 serve) (100g),104
Veggie Burgers - (1 serve) (100g),177
Veg Lasagne - (1 serve) (226g),314
Veg Sausage Rolls - (1 roll (50g)),327
Cheese Tortellini - (1 cup) (113 g),329
Spinach Tortellini - (1 cup) (102 g),320
Tomato penne with avocado - (1 serve) (100g),450
Smoky tomato Chipotle - (1 serve) (100g),185
Spinach falafel & hummus bowl - (1 serve) (100g),379
spiced?lentil and?squash soup - (1 serve) (100g),440
Red pepper & Tomato soup - (1 serve) (100g),46
Veggie hummus pasta salad - (1 serve) (100g),385
Chickpea tagine soup - (1 serve) (100g),309
Quinoa tabbouleh - (1 serve) (100g),262
Burrito bowl with chipotle - (1 serve) (100g),665
Spicy avocado wraps - (1 serve) (100g),448
Herby broccoli & pea soup - (1 serve) (100g),214
Red lentil & Carrot Soup - (1 serve) (100g),123
Green club sandwich - (1 serve) (100g),220
"Courgette, potato & cheddar soup" - (1 serve) (100g),131
Kadhi-Rice - (1 serve) (100g),266
Rajma(kidney bean)-Rice - (1 serve) (100g),261
Naan - (2 pcs),274
Paneer Butter Masala - (1 serve) (100g),635
Noodle soup - (1 serve) (100g),48
Soba Noodles - (1 serve) (100g),192
Summer crunch salad - (1 serve) (100g),90
Roti - (2 pcs),211
Dum-Aloo - (1 serve) (100g),330
Aloo Gobhi - (1 serve) (100g),208
Jeera Rice - (1 serve) (100g),246
Pulao - (1 serve) (100g),360
Matar(pea)-Paneer - (1 serve) (100g),136
Aloo mutter(pea) - (1 serve) (100g),155
Mix Veg - (1 serve) (100g),200
Cabbage fry - (1 serve) (100g),120
Potato-cheese Fondue - (1 serve) (100g),130
pumpkin pie - (1 serve) (100g),243
mac & cheese - (1 serve) (100g),164
Jackfruit veggie - (1 serve) (100g),170
Momos - (4 pcs),140
Dumplings - (4 pcs),166
Manchurian - (1 serve) (100g),205
Double patty burger - (1 serve) (100g),373
Spaghetti with veg balls - (1 serve) (100g),160
Tandoori Roti - (2 pcs),128
Makke(Maize) Roti - (2 pcs),180
Chhole-Rice - (1 serve) (100g),130
Moroccan chickpea Soup - (1 serve) (100g),123
Springtime minestrone - (1 serve) (100g),420
pea & artichoke hummus - (1 serve) (28g),80
Noodle salad with sesame dressing - (1 serve) (100g),140
Paneer jalfrezi with jeera Rice - (1 serve) (100g),480
Quinoa salad with avocado mayo - (1 serve) (100g),500
Cullen Skink - (1 serve) (100g),206
Sweetcorn Tacos - (1 serve) (100g),218
Mapo-tofu - (1 serve) (100g),196
Okra masala - (1 serve) (100g),83
Egg-plant mash (bhartaa) - (1 serve) (100g),112
Saag - (1 serve) (100g),64
Mushroom & potato soup - (1 serve) (100g),110
Curried mango & chickpea pot - (1 serve) (100g),327
Tomato soup with Pasta - (1 serve) (100g),30
Green minestron with tortellini - (1 serve) (100g),231
Pepper & lemon spaghetti - (1 serve) (100g),400
Miso mushroom & tofu Noodle soup - (1 serve) (100g),377
Veggie olive wraps - (1 serve) (100g),281
Broccoli pasta - (1 serve) (100g),131
White pasta - (1 serve) (100g),300
Rose Pasta - (1 serve) (100g),131
Apple & penne slaw - (1 serve) (100g),472
Sweet potato taco - (1 serve) (100g),471
Vegan Hummus wrap - (1 serve) (100g),580
Italian Pasta Salad - (1 serve) (100g),241
Ranch Salad - (1 serve) (100g),59
Vegan Soba Noodle Salad - (1 serve) (100g),560
Asian Chopped Salad - (1 serve) (100g),260
Chickpea Greek Salad - (1 serve) (100g),411
Quinoa Spinach Salad - (1 serve) (100g),435
Cold Noodles with peanut Butter sauce - (1 serve) (100g),339
Creamy Tortellini Soup - (1 serve) (100g),383
Vegetarian Mushroom Barley soup - (1 serve) (100g),85
Coconut Curry lentil soup - (1 serve) (100g),404
Masala Dosa - (1 pc),539
Plain Dosa - (1 pc),168
Sambar-vada - (1 serve) (100g),170
Dahi-vada - (1 serve) (100g),106
Khichadi - (1 serve) (100g),203
Creamy Mexican Corn soup - (1 serve) (100g),194
Sweet potato soup - (1 serve) (100g),120
Nutri biryani - (1 serve) (100g),225
Chickpea Salad Sandwich - (1 serve) (100g),623
Roasted Chickpea Pittas - (1 serve) (100g),437
Cream Cheese sandwich - (1 serve) (100g),496
Quickpea Curry - (1 serve) (100g),148
Panzanella - (1 serve) (100g),192
Asparagus Soup with lemon creme fraiche - (1 serve) (100g),155
Chard & White Bean pasta - (1 serve) (100g),369
Farm Pizza - (1 serve) (100g),266
Lentil patties with mozzarella - (1 pc),416
Spicy peanut soup - (1 serve) (100g),223
Veg Linguine - (1 serve) (100g),260
Stir-Fry Rice bowl - (1 serve) (100g),163
Lemony Garbanzo Salad - (1 serve) (100g),167
Mushroom Pear Melts - (2 pcs),421
Avocado-cottage cheese Quesadillas - (1 serve) (100g),42
Tomato Baguette Pizza - (1 pc),260
Grilled cheese sandwich - (1 serve) (100g),700
Veggie Glass Noodle - (1 serve) (100g),351
Roasted Pepper Potato soup - (1 serve) (100g),89.9
veggie Calzones - (1 pc),964
Chilli Paneer - (1 serve) (100g),366
Mushroom pasta - (1 serve) (100g),278
Red sauce Ravioli - (1 serve) (100g),30
Aloo kachori - (1 pc),186
Veg Korma - (1 serve) (100g),124
Navratna Korma - (1 serve) (100g),223
Panchrang Daal - (1 serve) (100g),206
Daal Makhani - (1 serve) (100g),278
Kadhai Paneer - (1 serve) (100g),248
Malai Kofta - (1 serve) (100g),362
stuffed bitterguard - (1 serve) (100g),152
Aloo beans - (1 serve) (100g),347
Palak Paneer - (1 serve) (100g),470
Raita - (1 serve) (100g),60
Paneer bhurji - (1 serve) (100g),370
Drumstick veggie - (1 serve) (100g),85
lotus stem soup - (1 serve) (100g),320
Cajun potato - (1 serve) (100g),120
Tomato & Avocado Sandwich - (1 serve) (100g),157
Black bean-Tomato Chilli - (1 serve) (100g),161
Garlic Naan - (1 pc),93
Sweet potato curry with rice - (1 serve) (100g),500
Chana masala with rice - (1 serve) (100g),46
Veggie-loaded flatbread - (1 serve) (100g),623
